id,tema,keywords,respuesta
docu-orange-autonomo,Telefonía - Orange,orange;documentación;autónomo;venta;contrato,"Para tramitar una venta de Orange a un autónomo necesitas: DNI, último recibo de autónomo y justificante bancario. Si el recibo se paga en la cuenta usada para los pagos, no hace falta el justificante."
docu-orange-empresa,Telefonía - Orange,orange;documentación;empresa;contrato;venta,"Para empresa necesitas: DNI, CIF, escrituras (desde portada hasta la página que da poderes) y justificante bancario (máximo 2 meses de antigüedad)."
docu-euskaltel,Telefonía - Euskaltel,euskaltel;documentación;contrato;fibra;móvil,Para Euskaltel es necesaria la firma presencial y entregar contrato original. Documentación: RESIDENCIAL: DNI + justificante cuenta. AUTÓNOMO: DNI + recibo autónomo (2 meses) + justificante. EMPRESA: DNI + CIF + justificante.
docu-vodafone,Telefonía - Vodafone,vodafone;documentación;firma;sms;contrato,Se verifica por llamada desde central y se envía enlace por SMS/mail. Documentación: PARTICULARES: DNI/NIE. AUTÓNOMOS: DNI/NIE + recibo autónomo (3 meses) + recibo bancario. EMPRESA: CIF + DNI/NIE apoderado + escrituras + recibo bancario.
docu-naturgy-resi,Energía - Naturgy,naturgy;residencial;documentación;firma;contrato,"Para Naturgy residencial necesitas: DNI físico, factura (gas o luz) y ficha bien cumplimentada. Firma por SMS y verificación obligatoria. No se puede firmar desde el número del comercial."
docu-naturgy-pymes,Energía - Naturgy,naturgy;empresa;autónomo;documentación;firma,"PYMES: CIF + DNI representante + carta autorización + factura. AUTÓNOMOS: DNI + recibo autónomo (máximo 3 meses) + factura. Firma por SMS, verificación obligatoria."
docu-plenitude,Energía - Plenitude,plenitude;documentación;contrato;firma,"Documentación: RESIDENCIAL/AUTÓNOMOS: factura, DNI, recibo autónomo (3 meses). EMPRESA: factura, DNI, CIF. Todo en PDF por separado. Prohibido firmar desde el número del comercial."
docu-gana-energia,Energía - Gana Energía,gana energía;firma;documentación;crm;contrato,El cliente debe firmar consentimiento mediante email. Firma con PIN de 4 dígitos. Solo se necesita documentación para cambio de titular (factura) o alta nueva (boletín).
docu-endesa,Energía - Endesa,endesa;documentación;firma;verificación;ballonti,"DNI vigente por ambas caras, anexos firmados (empresas), factura, carta de poder. Cliente debe decir que ha sido una venta presencial en CENTRO COMERCIAL BALLONTI y validar con código recibido por SMS."
docu-rentik,Telefonía - Rentik,rentik;documentación;firma;biométrica;scoring,"El cliente recibe SMS para introducir tarjeta, luego otro para firma biométrica. Documentación: DNI por ambas caras, selfie. Comercial verifica la oferta y el cliente debe dar el código recibido por SMS."
